"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"RS_COMPONENTS_1674235_PURCHASE_URL";"RS_COMPONENTS_7099038P_PURCHASE_URL";"RS_COMPONENTS_7099038_PURCHASE_URL";"RS_COMPONENTS_7867096P_PURCHASE_URL";"RS_COMPONENTS_7867096_PURCHASE_URL";"RS_COMPONENTS_9215119_PURCHASE_URL";"SNAPEDA_LINK";"SPICEMODEL";"SPICEPREFIX";
"R23";"150";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R25";"100";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"RST";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";"";"";"";"";"";"";"";
"TILT1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";"";
"TILT2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"SIM7000G";"SIM7000G";"SIM7000G";"";"";"https://www.snapeda.com/parts/SIM7000G/SIMCom/view-part/?ref=eda";" 802.15.4 Cat-M, Cat-NB, EDGE, GPRS, LPWA Transceiver Module 850MHz, 900MHz, 1.8GHz, 1.9GHz Antenna Not Included Surface Mount ";"";"SIMCom Wireless Solutions Limited";"SIM7000G";"";"";"";"None";"";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=12130268&manufacturer=SIMCom Wireless Solutions Limited&part_name=SIM7000G&search_term=sim7000g";"";"";"";"";"";"";"https://www.snapeda.com/parts/SIM7000G/SIMCom/view-part/?ref=snap";"";"";
"U1";"ESP-WROOM-03";"ESP-WROOM-03";"ESP-WROOM-03";"";"";"";"";"";"";"";"";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"TXB0108PWR";"TXB0108PWR";"SOP65P640X120-20N";"8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect 20-TSSOP -40 to 85  Check availability";"";"https://www.snapeda.com/parts/TXB0108PWR/Texas+Instruments/view-part/?ref=eda";" 8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect ";"";"Texas Instruments";"TXB0108PWR";"";"";"";"TSSOP-20 Texas Instruments";"";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=45111&manufacturer=Texas Instruments&part_name=TXB0108PWR&search_term=txb0108";"";"https://www.snapeda.com/api/url_track_click/https%253A//uk.rs-online.com/web/p/translator-ics/7099038p//%253Futm_campaign%253Dbuynow%2526utm_medium%253Daggregator%2526utm_source%253Dsnapeda%2526cm_mmc%253Daff-_-uk-_-snapeda-_-7099038P/?unipart_id=45111&manufacturer=Texas Instruments&part_name=TXB0108PWR&search_term=txb0108";"https://www.snapeda.com/api/url_track_click/https%253A//uk.rs-online.com/web/p/translator-ics/7099038//%253Futm_campaign%253Dbuynow%2526utm_medium%253Daggregator%2526utm_source%253Dsnapeda%2526cm_mmc%253Daff-_-uk-_-snapeda-_-7099038/?unipart_id=45111&manufacturer=Texas Instruments&part_name=TXB0108PWR&search_term=txb0108";"";"";"https://www.snapeda.com/api/url_track_click/https%253A//uk.rs-online.com/web/p/translator-ics/9215119//%253Futm_campaign%253Dbuynow%2526utm_medium%253Daggregator%2526utm_source%253Dsnapeda%2526cm_mmc%253Daff-_-uk-_-snapeda-_-9215119/?unipart_id=45111&manufacturer=Texas Instruments&part_name=TXB0108PWR&search_term=txb0108";"https://www.snapeda.com/parts/TXB0108PWR/Texas+Instruments/view-part/?ref=snap";"";"";
"U4";"MIC5239S";"MIC5239S";"SOT223";"LDO REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"S2B-PH-K-S";"S2B-PH-K-S";"S2B-PH-K-S";"JST PH series header 2.00mm pitch disconnectable crimp style connectors, horizontal (side entry type), 2 pins";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"B2B-PH-K-S";"B2B-PH-K-S";"B2B-PH-K-S";"JST PH series header 2.00mm pitch disconnectable crimp style connectors, vertical (side entry type), 2 pins";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
